time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-07 00:00:00+00:00,62,18,52,12
2026-01-08 00:00:00+00:00,60,12,14,12
2026-01-09 00:00:00+00:00,5,5,7,7
2026-01-10 00:00:00+00:00,4,4,6,5
2026-01-11 00:00:00+00:00,4,4,4,4
2026-01-12 00:00:00+00:00,225,66,127,5
2026-01-13 00:00:00+00:00,74,21,7,6
2026-01-14 00:00:00+00:00,14,7,14,13
2026-01-15 00:00:00+00:00,6,4,17,13
2026-01-16 00:00:00+00:00,7,6,52,22
2026-01-17 00:00:00+00:00,5,4,8,8
2026-01-18 00:00:00+00:00,690,124,95,29
2026-01-19 00:00:00+00:00,6,5,28,15
2026-01-20 00:00:00+00:00,4,3,22,10
