time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,67,15,10,8
2026-02-11 00:00:00+00:00,23,13,7,7
2026-02-12 00:00:00+00:00,7,5,7,6
2026-02-13 00:00:00+00:00,43,16,3,3
2026-02-14 00:00:00+00:00,12,10,17,7
2026-02-15 00:00:00+00:00,4,3,6,6
2026-02-16 00:00:00+00:00,110,18,4,4
2026-02-17 00:00:00+00:00,9,7,6,6
2026-02-18 00:00:00+00:00,80,35,31,17
2026-02-19 00:00:00+00:00,10,8,12,8
2026-02-20 00:00:00+00:00,8,6,11,6
2026-02-21 00:00:00+00:00,52,20,7,6
2026-02-22 00:00:00+00:00,49,18,9,7
2026-02-23 00:00:00+00:00,253,12,16,9
