time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,5,3,10,9
2026-08-07 00:00:00+00:00,152,10,6,5
2026-08-08 00:00:00+00:00,1184,17,12,8
2026-08-09 00:00:00+00:00,124,16,5,5
2026-08-10 00:00:00+00:00,22,13,1,1
2026-08-11 00:00:00+00:00,4,3,19,7
2026-08-12 00:00:00+00:00,13,9,10,8
2026-08-13 00:00:00+00:00,13,11,7,7
2026-08-14 00:00:00+00:00,549,251,9,8
2026-08-15 00:00:00+00:00,16,8,8,7
2026-08-16 00:00:00+00:00,597,81,14,9
2026-08-17 00:00:00+00:00,19,14,16,11
2026-08-18 00:00:00+00:00,18,13,10,10
2026-08-19 00:00:00+00:00,8,6,40,39
