time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-26 00:00:00+00:00,65,3,46,18
2024-07-27 00:00:00+00:00,4,2,14,8
2024-07-28 00:00:00+00:00,67,7,21,13
2024-07-29 00:00:00+00:00,151,7,108,21
2024-07-30 00:00:00+00:00,100,5,97,32
2024-07-31 00:00:00+00:00,129,14,58,21
2024-08-01 00:00:00+00:00,75,1,85,17
2024-08-02 00:00:00+00:00,36,2,26,15
2024-08-03 00:00:00+00:00,1,1,19,13
2024-08-04 00:00:00+00:00,2,2,25,19
2024-08-05 00:00:00+00:00,93,8,86,20
2024-08-06 00:00:00+00:00,25,2,59,30
2024-08-07 00:00:00+00:00,22,4,27,22
2024-08-08 00:00:00+00:00,49,1,77,21
