url_path,views_total,views_unique
/instill-ai/instill-core,188,99
/instill-ai/instill-core/actions,43,2
/instill-ai/instill-core/pulls,31,6
/instill-ai/instill-core/issues,25,10
/instill-ai/instill-core/tree/main/release-please,21,2
/instill-ai/instill-core/blob/43368f8031b863d6db123d32c6933704e288d628/.github/workflows/integration-test-console.yml,18,1
/instill-ai/instill-core/tree/main/charts/instill-core,16,2
/instill-ai/instill-core/blob/main/release-please/manifest.json,16,1
/instill-ai/instill-core/tree/main/examples,14,4
/instill-ai/instill-core/blob/f563393dca62fc1961e1a370f5a38fb9bc51c5a3/Makefile,13,1
