url_path,views_total,views_unique
/instill-ai/instill-core,240,159
/instill-ai/instill-core/issues,17,10
/instill-ai/instill-core/issues/new,16,3
/instill-ai/instill-core/issues/1023,15,1
/instill-ai/instill-core/pulls,12,6
/instill-ai/instill-core/tree/main/charts/core,12,6
/instill-ai/instill-core/tree/main/model-hub,12,6
/instill-ai/instill-core/discussions/1072,12,2
/instill-ai/instill-core/discussions,9,2
/instill-ai/instill-core/blob/9ec21423d69f891f3898588a78f3cfc4bbb8dca2/charts/core/values.yaml,8,2
