time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-03 00:00:00+00:00,1,1,19,13
2024-08-04 00:00:00+00:00,2,2,25,19
2024-08-05 00:00:00+00:00,93,8,86,20
2024-08-06 00:00:00+00:00,25,2,59,30
2024-08-07 00:00:00+00:00,22,4,27,22
2024-08-08 00:00:00+00:00,50,2,78,22
2024-08-09 00:00:00+00:00,56,3,93,21
2024-08-10 00:00:00+00:00,2,2,14,10
2024-08-11 00:00:00+00:00,69,5,14,7
2024-08-12 00:00:00+00:00,131,6,75,26
2024-08-13 00:00:00+00:00,231,15,106,29
2024-08-14 00:00:00+00:00,63,3,57,14
2024-08-15 00:00:00+00:00,20,2,56,20
2024-08-16 00:00:00+00:00,12,2,33,12
