time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-17 00:00:00+00:00,71,22,13,10
2026-07-18 00:00:00+00:00,169,31,15,9
2026-07-19 00:00:00+00:00,137,29,7,6
2026-07-20 00:00:00+00:00,26,15,10,7
2026-07-21 00:00:00+00:00,320,24,14,7
2026-07-22 00:00:00+00:00,12,8,8,8
2026-07-23 00:00:00+00:00,10,6,17,17
2026-07-24 00:00:00+00:00,7,5,21,18
2026-07-25 00:00:00+00:00,11,8,14,14
2026-07-26 00:00:00+00:00,328,17,20,17
2026-07-27 00:00:00+00:00,13,8,6,5
2026-07-28 00:00:00+00:00,14,11,7,7
2026-07-29 00:00:00+00:00,15,11,11,5
2026-07-30 00:00:00+00:00,27,12,9,8
