url_path,views_total,views_unique
/instill-ai/instill-core,203,152
/instill-ai/instill-core/issues/1133,14,13
/instill-ai/instill-core/tree/main/charts/core,12,2
/instill-ai/instill-core/tree/main/charts/core/charts,9,1
/instill-ai/instill-core/blob/main/charts/core/values.yaml,7,1
/instill-ai/instill-core/pull/1188,6,3
/instill-ai/instill-core/issues,5,5
/instill-ai/instill-core/tree/main,5,3
/instill-ai/instill-core/tree/zero-downtime-draft-branch,5,1
/instill-ai/instill-core/blob/main/Dockerfile,4,4
