time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-10 00:00:00+00:00,16,6,18,13
2023-01-11 00:00:00+00:00,52,16,54,12
2023-01-12 00:00:00+00:00,144,93,29,12
2023-01-13 00:00:00+00:00,125,76,99,15
2023-01-14 00:00:00+00:00,96,48,24,7
2023-01-15 00:00:00+00:00,171,99,18,8
2023-01-16 00:00:00+00:00,274,131,66,16
2023-01-17 00:00:00+00:00,288,136,41,15
2023-01-18 00:00:00+00:00,184,97,47,14
2023-01-19 00:00:00+00:00,228,76,50,14
2023-01-20 00:00:00+00:00,126,68,20,10
2023-01-21 00:00:00+00:00,252,109,28,10
2023-01-22 00:00:00+00:00,288,112,25,5
2023-01-23 00:00:00+00:00,193,88,47,9
