time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-19 00:00:00+00:00,5,4,90,52
2024-02-20 00:00:00+00:00,4,3,90,49
2024-02-21 00:00:00+00:00,38,5,112,43
2024-02-22 00:00:00+00:00,38,6,103,38
2024-02-23 00:00:00+00:00,51,10,93,36
2024-02-24 00:00:00+00:00,1,1,43,28
2024-02-25 00:00:00+00:00,441,19,103,33
2024-02-26 00:00:00+00:00,302,29,164,59
2024-02-27 00:00:00+00:00,60,26,64,45
2024-02-28 00:00:00+00:00,107,19,67,41
2024-02-29 00:00:00+00:00,220,60,127,48
2024-03-01 00:00:00+00:00,331,21,205,41
2024-03-02 00:00:00+00:00,59,13,60,26
2024-03-03 00:00:00+00:00,44,13,46,30
