time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-23 00:00:00+00:00,119,55,70,33
2022-10-24 00:00:00+00:00,37,30,212,121
2022-10-25 00:00:00+00:00,5,4,253,134
2022-10-26 00:00:00+00:00,3,3,185,84
2022-10-27 00:00:00+00:00,5,5,195,109
2022-10-28 00:00:00+00:00,3,3,237,111
2022-10-29 00:00:00+00:00,1,1,125,77
2022-10-30 00:00:00+00:00,2,2,169,82
2022-10-31 00:00:00+00:00,3,3,205,125
2022-11-01 00:00:00+00:00,12,5,174,93
2022-11-02 00:00:00+00:00,6,6,154,80
2022-11-03 00:00:00+00:00,85,57,164,102
2022-11-04 00:00:00+00:00,124,59,130,82
2022-11-05 00:00:00+00:00,110,61,77,62
