time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-17 00:00:00+00:00,288,136,41,15
2023-01-18 00:00:00+00:00,184,97,47,14
2023-01-19 00:00:00+00:00,228,76,50,14
2023-01-20 00:00:00+00:00,126,68,20,10
2023-01-21 00:00:00+00:00,252,109,28,10
2023-01-22 00:00:00+00:00,288,112,25,5
2023-01-23 00:00:00+00:00,251,93,48,10
2023-01-24 00:00:00+00:00,40,34,17,9
2023-01-25 00:00:00+00:00,2,2,28,14
2023-01-26 00:00:00+00:00,2,2,68,13
2023-01-27 00:00:00+00:00,6,2,25,9
2023-01-28 00:00:00+00:00,2,2,18,10
2023-01-29 00:00:00+00:00,1,1,18,12
2023-01-30 00:00:00+00:00,26,23,10,10
